#
#   VizieR Astronomical Server webviz.u-strasbg.fr
#    Date: 2017-10-23T21:20:54 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VOTx36584	
#INFO	-out.max=unlimited	
#INFO	queryParameters=6	
#-oc.form=D.
#-source=USNO-B1
#-c.ra=314.975125
#-c.dec=7.280722
#-c.bm=22.0000000/22.0000000
#-out.max=unlimited
#
#INFO	-c=314.975125+07.280722,bm=22.000000/22.	
#

#RESOURCE=yCat_1284
#Name: I/284
#Title: The USNO-B1.0 Catalog (Monet+ 2003)
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	I_284_out:
#Name: I/284/out
#Title: The Whole-Sky USNO-B1.0 Catalog of 1,045,913,669 sources
#Column	USNO-B1.0	(a12)	Designation of the object (1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F10.6)	Right Ascension at Eq=J2000, Ep=J2000 (2)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination at Eq=J2000, Ep=J2000 (2)	[ucd=pos.eq.dec;meta.main]
#Column	e_RAJ2000	(I3)	Mean error on RAdeg*cos(DEdeg) at Epoch	[ucd=stat.error;pos.eq.ra]
#Column	e_DEJ2000	(I3)	Mean error on DEdeg at Epoch	[ucd=stat.error;pos.eq.dec]
#Column	Epoch	(F6.1)	Mean epoch of observation (2)	[ucd=time.epoch;obs]
#Column	pmRA	(I6)	Proper motion in RA (relative to YS4.0)	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(I6)	Proper motion in DE (relative to YS4.0)	[ucd=pos.pm;pos.eq.dec]
#Column	Ndet	(I1)	[0,5] Number of detections (7)	[ucd=meta.number]
#Column	B1mag	(F5.2)	? First blue magnitude	[ucd=phot.mag;em.opt.B]
#Column	R1mag	(F5.2)	? First red magnitude	[ucd=phot.mag;em.opt.R]
#Column	B2mag	(F5.2)	? Second blue magnitude	[ucd=phot.mag;em.opt.B]
#Column	R2mag	(F5.2)	? Second red magnitude	[ucd=phot.mag;em.opt.R]
#Column	Imag	(F5.2)	? Infrared (N) magnitude	[ucd=phot.mag;em.opt.I]
USNO-B1.0	RAJ2000	DEJ2000	e_RAJ2000	e_DEJ2000	Epoch	pmRA	pmDE	Ndet	B1mag	R1mag	B2mag	R2mag	Imag
0971-0668945	315.056003	+07.159498	 64	120	1976.0	     0	     0	5	17.91	16.20	17.08	15.97	15.37
0971-0668946	315.057045	+07.124962	922	764	1991.1	     0	     0	2	     	     	     	20.39	19.24
0971-0668947	315.057159	+07.120575	 84	 41	1976.0	     0	     0	5	16.99	15.40	16.18	15.28	14.75
0971-0668948	315.057167	+07.186425	158	 79	1981.6	     0	     0	4	     	19.46	20.73	19.60	18.98
0971-0668949	315.057528	+07.109020	 74	325	1976.0	   -10	    -6	5	17.81	16.43	16.66	15.72	16.06
0971-0668950	315.057620	+07.106842	 17	108	1976.0	    -8	    10	5	16.69	14.92	15.89	14.82	14.26
0971-0668951	315.059262	+07.137353	421	 44	1991.1	     0	     0	2	     	     	     	20.59	19.15
0971-0668952	315.059970	+07.166189	184	 46	1976.0	     0	     0	5	20.36	17.88	19.12	17.41	16.66
0971-0668953	315.060062	+07.155023	 88	 46	1976.0	     0	     0	5	18.10	16.82	17.37	16.59	16.52
0971-0668954	315.061373	+07.166862	106	154	1976.0	     0	     0	5	20.72	19.59	20.19	19.79	19.19
0971-0668955	315.062562	+07.125248	 58	164	1976.0	   -10	     0	5	20.45	19.42	20.73	19.78	19.19
0971-0668956	315.062942	+07.121362	193	 54	1992.6	     0	     0	2	     	     	     	20.08	19.22
0971-0668957	315.063475	+07.195848	 64	104	1976.0	   -10	    -6	5	17.70	16.52	17.00	16.17	16.02
0971-0668958	315.063481	+07.177098	183	173	1976.0	     0	     0	5	20.39	19.75	20.39	19.35	19.01
0971-0668959	315.065559	+07.185487	809	473	1977.3	     0	     0	3	20.70	     	20.84	20.39	
0971-0668960	315.065925	+07.182492	149	 70	1983.1	     0	     0	4	     	20.05	21.10	19.98	18.91
0971-0668961	315.066109	+07.125603	 90	190	1981.6	     0	     0	4	     	19.28	20.41	19.13	18.69
0971-0668962	315.066350	+07.104770	999	999	1990.9	     0	     0	3	     	     	17.08	16.98	17.62
0971-0668963	315.066489	+07.106275	999	257	1991.9	  -104	  -104	3	     	     	20.59	18.36	18.46
0971-0668964	315.066548	+07.105356	 80	 77	1983.1	   -32	     6	4	     	18.66	20.14	18.97	18.26
0971-0668965	315.066587	+07.109889	382	949	1989.0	     0	     0	2	     	     	21.17	19.93	
0971-0668966	315.066775	+07.105800	 14	 75	1990.6	     0	     0	2	     	     	20.34	17.13	
0971-0668967	315.067353	+07.143025	 75	 56	1976.0	     0	     0	5	19.55	18.69	19.05	18.23	18.19
0971-0668968	315.067870	+07.192381	252	169	1991.1	     0	     0	2	     	     	     	20.83	18.84
0971-0668969	315.068078	+07.164131	115	349	1976.0	     0	     0	5	20.03	17.84	19.22	17.63	17.17
0971-0668970	315.069609	+07.183637	114	171	1981.6	     0	     0	4	     	19.50	21.23	19.79	18.86
0971-0668971	315.070034	+07.170889	 45	160	1981.6	   -12	    10	4	     	18.94	20.29	18.81	18.08
0971-0668972	315.070150	+07.151609	 62	 29	1976.0	    16	     2	5	18.81	16.55	17.69	16.05	15.66
0971-0668973	315.071645	+07.177389	218	 85	1978.3	   -12	   326	3	20.56	     	21.52	20.10	
0971-0668974	315.071731	+07.136423	635	999	1973.6	     0	     0	2	     	19.34	20.99	     	
0971-0668975	315.072100	+07.170323	 35	 82	1981.6	     0	     0	4	     	19.00	20.71	18.90	17.38
0971-0668976	315.072750	+07.181534	410	189	1981.6	     8	    36	4	     	19.47	21.23	19.96	18.30
0971-0668977	315.072853	+07.195234	357	 95	1970.7	     0	     0	2	     	20.05	     	20.56	
0971-0668978	315.073498	+07.136348	417	999	1978.3	  -362	  -294	3	     	19.78	20.61	20.87	
0971-0668979	315.073684	+07.119962	145	158	1978.3	     6	   -16	3	     	19.85	20.78	20.60	
0971-0668980	315.074284	+07.171267	 92	 66	1976.0	     0	     0	5	19.09	17.12	18.13	16.71	16.41
0971-0668981	315.075125	+07.198973	220	377	1976.0	     0	     0	5	20.72	19.22	20.64	19.66	19.13
0971-0668982	315.075537	+07.188770	255	 57	1979.7	     0	     0	3	     	20.05	     	20.10	19.16
0971-0668983	315.075775	+07.171731	209	177	1976.0	     0	     0	5	20.48	18.89	19.88	18.34	18.75
0971-0668984	315.076739	+07.155731	374	 14	1981.6	    -8	     8	4	     	19.70	21.28	20.11	19.23
0971-0668985	315.077256	+07.177059	 81	284	1977.3	    96	   118	3	20.63	     	20.65	20.80	
0971-0668986	315.077984	+07.156770	996	999	1978.7	  -236	  -486	3	20.73	     	     	20.60	19.10
0971-0668987	315.078120	+07.105059	 44	 50	1991.1	     0	     0	2	     	     	     	19.76	18.87
0971-0668988	315.078656	+07.122981	602	416	1978.3	     0	     0	3	     	20.05	20.57	19.46	
0971-0668989	315.079050	+07.152859	388	 83	1976.0	     0	     0	5	20.73	19.43	20.65	18.73	18.42
0971-0668990	315.079245	+07.122817	352	228	1979.3	     0	     0	3	     	19.91	20.99	19.51	
0971-0668991	315.080164	+07.141356	 53	 44	1976.0	     0	     0	5	18.35	17.19	17.67	16.90	16.60
0971-0668992	315.080614	+07.178503	230	 82	1982.4	     0	     0	4	     	19.90	21.10	20.24	18.83
0971-0668993	315.081837	+07.198856	147	 67	1979.7	    -8	   -76	3	20.64	     	     	20.10	19.16
0971-0668994	315.082512	+07.148289	 58	342	1978.3	    18	    38	3	20.71	     	20.93	20.35	
0971-0668995	315.083006	+07.146962	157	179	1976.0	     0	     0	5	19.63	18.35	17.97	17.32	17.29
0971-0668996	315.083564	+07.139717	999	239	1992.6	     0	     0	2	     	     	     	20.10	19.14
0971-0668997	315.083581	+07.147170	298	 92	1976.6	     0	     0	5	19.97	19.26	18.59	18.51	18.12
0971-0668998	315.084328	+07.156050	 71	113	1976.0	     0	     0	5	18.45	17.32	17.80	16.95	17.26
0971-0668999	315.084334	+07.103612	535	414	1992.6	     0	     0	2	     	     	     	19.66	19.24
0971-0669000	315.087198	+07.196075	 86	108	1976.0	     0	     0	5	18.83	17.12	17.93	16.95	16.67
0971-0669001	315.087700	+07.182334	 54	 40	1976.0	    -8	    -2	5	18.06	16.78	17.15	16.29	16.25
0971-0669002	315.088031	+07.172167	 94	141	1976.0	     0	     0	5	20.71	19.51	20.48	19.32	18.57
0971-0669003	315.088514	+07.127967	347	115	1992.6	     0	     0	2	     	     	     	20.09	19.20
0971-0669004	315.088550	+07.178306	141	161	1981.6	     0	     0	4	     	19.51	20.93	19.26	18.40
0971-0669005	315.088748	+07.150714	888	 45	1973.6	     0	     0	2	     	19.76	20.55	     	
0971-0669006	315.088823	+07.150462	999	830	1974.2	     0	     0	2	     	18.51	     	     	18.80
0971-0669007	315.088906	+07.124053	 45	107	1977.3	   -32	   -18	3	     	20.02	20.97	20.32	
0971-0669008	315.089489	+07.148248	111	 65	1976.0	     0	     0	5	14.65	13.12	13.89	13.10	12.20
0971-0669009	315.089848	+07.109695	 81	 60	1976.0	     0	     0	5	19.02	17.50	18.01	17.03	16.63
0971-0669010	315.090825	+07.162884	 54	 70	1976.0	    -8	    -4	5	17.65	16.07	16.65	15.64	15.21
0971-0669011	315.090989	+07.105642	 75	 95	1976.0	     0	     0	5	19.77	18.70	18.63	18.16	18.19
0971-0669012	315.091431	+07.197167	153	227	1976.6	     0	     0	5	20.72	19.85	21.08	19.97	19.04
0971-0669013	315.091625	+07.109309	480	217	1990.9	     0	     0	3	     	     	20.97	20.07	18.74
0971-0669014	315.091759	+07.167387	 55	 22	1976.0	     0	     0	5	18.85	17.27	17.92	16.87	16.79
0971-0669015	315.092878	+07.144112	137	 57	1976.0	     0	     4	5	17.58	15.69	16.51	15.25	14.61
0971-0669016	315.093095	+07.105359	 77	 74	1976.0	    14	     8	5	20.47	18.63	19.81	18.13	17.97
0971-0669017	315.093295	+07.152081	149	 71	1976.0	     0	     0	5	20.42	18.11	19.32	17.58	17.39
0971-0669018	315.094303	+07.180903	 43	125	1976.0	     4	    -4	5	18.70	17.74	17.64	17.02	16.84
0971-0669019	315.094362	+07.193637	188	215	1989.0	     0	     0	2	     	     	21.65	20.90	
0971-0669020	315.096020	+07.147720	359	207	1978.7	     0	     0	3	     	20.02	     	20.09	19.10
0971-0669021	315.096537	+07.143298	999	999	1972.2	     0	     0	2	     	19.08	     	19.16	
0971-0669022	315.096623	+07.143687	146	 86	1976.0	     0	     0	5	19.72	18.53	18.67	17.22	16.88
0971-0669023	315.096900	+07.162295	483	504	1978.7	  -278	   258	3	     	19.65	     	18.98	18.92
0971-0669024	315.096970	+07.130756	 44	135	1981.6	   -16	     4	4	     	19.40	21.12	19.34	18.28
0971-0669025	315.097537	+07.173375	 46	 68	1976.0	     0	     0	5	18.84	18.27	17.97	17.55	17.67
0971-0669026	315.097639	+07.101253	 72	 63	1976.0	    -8	     2	5	16.51	14.42	15.63	14.49	13.62
0971-0669027	315.098839	+07.125175	281	 48	1991.9	     0	     0	3	     	     	21.06	20.19	18.97
0971-0669028	315.099350	+07.160556	 62	 46	1976.0	   -22	   -26	5	15.41	13.79	14.63	13.68	12.89
0971-0669029	315.100109	+07.112998	293	227	1976.0	     0	     0	5	20.73	19.94	20.77	20.40	19.20
0971-0669030	315.101628	+07.132167	108	 66	1976.0	   -10	     2	5	18.18	16.48	17.18	16.08	15.83
0971-0669031	315.102839	+07.184442	 88	124	1976.0	   -10	    -8	5	16.15	14.89	15.37	14.58	13.88
0971-0669032	315.104317	+07.174259	218	182	1976.0	    22	    -2	5	20.28	18.77	19.63	18.07	17.48
0971-0669033	315.104878	+07.174387	166	 88	1976.0	     0	     0	5	20.21	18.67	18.83	17.81	17.94
0971-0669034	315.104984	+07.169037	 80	 40	1981.6	     0	     0	4	     	19.79	21.44	19.53	18.77
0971-0669035	315.105023	+07.132759	 76	 80	1976.0	     0	     0	5	18.40	16.59	17.42	16.17	15.96
0971-0669036	315.105081	+07.187103	264	340	1971.4	     0	     0	4	20.27	19.97	21.17	20.77	
0971-0669037	315.105181	+07.192389	120	 81	1976.0	     0	     0	5	17.58	15.81	16.55	15.35	14.75
0971-0669038	315.105531	+07.188637	121	167	1982.3	     0	     0	4	20.64	     	20.67	19.84	19.24
0971-0669039	315.106148	+07.135214	284	 93	1976.0	    10	   -12	5	20.56	19.12	20.52	19.54	18.98
0971-0669040	315.106367	+07.199753	 41	138	1976.0	    -4	   -10	5	18.97	18.09	18.00	17.50	17.60
0971-0669041	315.106564	+07.118037	 71	 39	1976.0	     0	     0	5	18.65	17.63	17.67	17.20	17.35
0971-0669042	315.107123	+07.177675	 74	160	1976.0	     0	     0	5	20.11	18.81	19.06	18.02	18.02
0971-0669043	315.107503	+07.167625	 39	141	1976.0	     0	     0	5	18.03	16.14	17.02	15.97	15.45
0971-0669044	315.109109	+07.153978	 75	 54	1982.4	     0	     0	4	     	19.86	20.99	20.62	19.01
0971-0669045	315.109148	+07.128234	119	 69	1976.0	     0	     0	5	20.50	18.84	19.96	18.54	18.41
0971-0669046	315.109492	+07.161809	999	999	1953.7	     0	     0	2	20.72	20.05	     	     	
0971-0669047	315.111187	+07.109167	119	140	1976.6	     0	     0	5	17.21	15.84	16.48	15.84	15.51
0971-0669048	315.111234	+07.156342	 62	 37	1981.6	   -18	    -8	4	     	19.36	20.94	19.10	18.25
0971-0669049	315.111350	+07.102442	 53	 54	1976.0	     0	     0	5	20.06	19.07	19.59	19.16	18.64
0971-0669050	315.111942	+07.110203	151	176	1976.0	     0	     0	5	18.34	16.77	17.42	16.13	15.95
0971-0669051	315.112723	+07.196828	193	 81	1976.0	     0	     0	5	14.62	13.08	13.93	13.10	12.45
0971-0669052	315.114320	+07.140987	295	232	1991.9	     0	     0	3	     	     	21.10	19.94	19.03
0971-0669053	315.114781	+07.195217	216	133	1976.0	     0	     0	5	17.93	15.46	16.54	15.08	14.78
0971-0669054	315.114939	+07.127745	114	370	1981.6	    -4	   -56	4	     	19.87	21.42	19.95	19.02
0971-0669055	315.116353	+07.108120	999	  9	1978.7	  -358	    42	3	20.72	     	     	20.37	18.77
0971-0669056	315.116450	+07.113637	183	232	1977.3	  -150	    50	3	20.70	     	21.23	20.96	
0971-0669057	315.117359	+07.119656	227	387	1981.6	   -44	    24	4	     	19.97	21.76	20.87	19.17
0971-0669058	315.117378	+07.124870	193	347	1976.0	    42	    24	5	20.66	18.35	20.28	18.45	16.31
0971-0669059	315.117925	+07.126820	248	194	1989.0	     0	     0	2	     	     	20.74	20.00	
0971-0669060	315.118198	+07.169414	471	368	1978.7	     0	     0	3	20.71	     	     	19.73	19.21
0971-0669061	315.118650	+07.173984	 87	152	1982.4	     0	     0	4	     	19.69	20.83	20.23	19.22
0971-0669062	315.119164	+07.157498	205	110	1981.6	   -14	   -14	4	     	19.35	20.94	19.03	17.86
0971-0669063	315.120303	+07.193912	233	999	1990.9	  -134	   194	3	     	     	20.90	19.51	19.12
0971-0669064	315.120906	+07.159039	 59	 98	1976.0	     0	     0	5	19.06	17.40	18.00	17.15	16.57
0971-0669065	315.120981	+07.107425	 65	182	1976.0	   -10	     8	5	20.59	19.67	20.18	19.65	19.17
0971-0669066	315.121014	+07.108823	480	 85	1982.4	     0	     0	4	     	19.83	21.04	20.32	18.99
0971-0669067	315.121603	+07.127945	 34	 15	1991.1	     0	     0	2	     	     	     	20.01	18.88
0971-0669068	315.121912	+07.184953	225	255	1982.4	     0	     0	4	     	19.77	21.07	20.88	19.17
0971-0669069	315.122034	+07.192734	 50	 71	1976.0	     0	     0	5	17.75	16.23	16.98	15.76	15.42
0971-0669070	315.122392	+07.169475	110	 97	1976.0	     0	     0	5	19.52	17.49	18.47	16.93	16.22
0971-0669071	315.122473	+07.122009	 53	 35	1979.3	    18	    26	3	     	19.69	21.01	20.08	
0971-0669072	315.122484	+07.122689	257	999	1991.1	     0	     0	2	     	     	     	20.52	19.14
0971-0669073	315.122795	+07.153587	118	 83	1990.9	     0	     0	3	     	     	20.95	18.78	18.20
0971-0669074	315.124650	+07.179245	 36	138	1976.0	     0	     0	5	20.53	19.75	20.59	19.83	19.03
0971-0669075	315.124842	+07.101223	104	 56	1990.9	     2	    14	3	     	     	20.97	19.43	18.00
0971-0669076	315.125087	+07.113970	 84	181	1976.0	     0	     0	5	18.79	17.55	18.10	16.98	16.96
0971-0669077	315.125153	+07.114384	174	 98	1979.7	     0	     0	3	     	18.81	     	18.53	17.23
0971-0669078	315.125228	+07.173645	 72	 51	1976.0	     0	     0	5	17.53	16.26	16.45	15.88	15.55
0971-0669079	315.125303	+07.104464	178	 39	1990.5	     0	     0	2	     	     	21.34	20.10	
0971-0669080	315.125498	+07.186603	 65	147	1981.6	   -14	     0	4	     	19.59	21.57	19.60	18.35
0971-0669081	315.126017	+07.145673	337	105	1992.0	     0	     0	2	     	     	20.93	19.79	
0971-0669082	315.126281	+07.157195	127	 47	1976.0	    14	     6	5	15.79	14.17	15.00	14.09	13.49
0971-0669083	315.126348	+07.162887	 52	 58	1976.0	     0	     0	5	17.39	16.00	16.55	15.66	15.48
0971-0669084	315.126423	+07.160467	131	238	1976.0	     0	     0	5	20.42	17.44	19.50	17.31	16.34
0971-0669085	315.126623	+07.145706	173	499	1990.6	     0	     0	2	     	     	20.36	19.43	
0971-0669086	315.126750	+07.100589	127	 62	1981.6	     0	    -8	4	     	19.84	21.26	19.68	19.23
0971-0669087	315.127098	+07.145770	252	249	1976.0	   -24	     6	5	20.34	19.44	19.74	18.96	18.84
0971-0669088	315.128050	+07.169298	 73	 92	1981.6	    -4	   -16	4	     	19.83	21.56	19.79	18.71
0971-0669089	315.128670	+07.104242	 54	 64	1976.0	     0	     0	5	19.89	19.31	19.66	18.70	18.79
0971-0669090	315.129545	+07.153478	109	 41	1976.0	     0	     0	5	18.86	17.82	17.89	17.31	17.37
0971-0669091	315.129973	+07.196942	123	103	1976.0	     0	     0	5	20.42	18.67	20.32	18.10	17.87
0971-0669092	315.130373	+07.192195	 82	127	1981.6	   -16	    -8	4	     	19.30	20.33	19.27	18.23
0971-0669093	315.130567	+07.180164	 73	236	1976.0	     0	     0	5	18.31	18.69	18.65	17.73	17.62
0971-0669094	315.130781	+07.183048	111	395	1976.0	   -12	    -2	5	20.71	18.97	20.14	18.84	18.27
0971-0669095	315.132164	+07.188609	145	109	1982.3	     0	     0	4	     	19.89	20.84	20.07	19.19
0971-0669096	315.132373	+07.191892	 48	 62	1976.0	    10	     0	5	20.18	17.68	19.09	17.12	16.16
0971-0669097	315.132820	+07.179012	138	 95	1976.0	   -16	     8	5	20.18	17.91	19.63	17.61	16.96
0971-0669098	315.133825	+07.134814	 55	 78	1976.0	     0	     0	5	19.86	18.74	19.09	18.42	18.30
0971-0669099	315.135420	+07.139612	342	999	1990.6	     0	     0	2	     	     	20.65	19.77	
0971-0669100	315.135512	+07.114162	 45	 54	1976.0	     0	     0	5	17.40	16.20	16.69	15.89	15.76
0971-0669101	315.135517	+07.139842	 49	145	1981.6	     0	     0	4	     	20.03	20.98	20.08	18.85
0971-0669102	315.135587	+07.138039	222	 60	1991.9	    18	  -272	3	     	     	21.09	20.39	18.93
0971-0669103	315.136750	+07.169781	153	454	1976.0	     0	     0	5	20.70	20.00	20.69	19.62	18.71
0971-0669104	315.137284	+07.159648	485	751	1977.3	     0	     0	3	20.69	     	21.07	19.67	
0971-0669105	315.137317	+07.159959	917	885	1994.0	     0	     0	2	     	     	20.75	     	19.05
0971-0669106	315.137364	+07.137517	 76	 87	1976.0	     0	     0	5	18.61	17.35	17.81	17.21	17.09
0971-0669107	315.137437	+07.119456	265	217	1976.0	     0	     0	5	20.31	18.72	18.79	17.81	18.19
0971-0669108	315.137437	+07.162270	220	168	1981.6	     0	     0	4	     	20.05	21.54	19.88	19.17
0971-0669109	315.137909	+07.120014	153	260	1976.0	     0	     0	5	19.50	17.00	17.53	16.64	16.64
0971-0669110	315.139228	+07.197764	391	999	1974.2	     0	     0	2	     	20.02	     	     	19.22
0971-0669111	315.139992	+07.134081	187	 88	1976.0	     0	     0	5	20.64	19.75	20.52	19.40	18.95
0971-0669112	315.140100	+07.158459	178	314	1990.6	     0	     0	2	     	     	20.77	20.84	
0971-0669113	315.140234	+07.139914	 97	 61	1976.0	     0	     0	5	20.66	19.27	20.28	18.89	18.80
0971-0669114	315.140381	+07.171567	158	 38	1976.0	   -14	   -12	5	18.27	16.73	17.43	16.45	16.42
0971-0669115	315.141056	+07.167723	 63	 14	1981.6	    -4	    -6	4	     	19.66	21.16	19.61	18.77
0971-0669116	315.141292	+07.151981	 78	 46	1976.0	     0	     0	5	19.51	18.42	18.60	18.03	18.15
0971-0669117	315.142273	+07.141956	 99	382	1976.0	   -18	    -6	5	20.32	19.20	20.23	19.28	18.67
0971-0669118	315.143320	+07.191209	 89	 88	1978.7	   -22	    24	3	     	20.01	     	19.98	18.81
0971-0669119	315.143370	+07.156512	401	 94	1990.9	     0	     0	3	     	     	21.48	19.90	18.53
0971-0669120	315.143570	+07.126409	 94	 53	1976.0	     0	     0	5	17.92	15.96	16.83	15.82	15.24
0971-0669121	315.143817	+07.151464	152	 54	1976.0	   -16	    -2	5	20.45	18.31	19.82	17.79	17.23
0971-0669122	315.145264	+07.171514	 65	131	1976.0	     0	     0	5	14.72	13.32	14.29	13.37	12.26
0971-0669123	315.145478	+07.159725	 81	 60	1976.0	    -8	   -10	5	16.79	15.07	16.06	14.86	14.40
0971-0669124	315.146809	+07.188242	190	102	1978.3	    -8	   -20	3	     	19.88	20.97	20.23	
0971-0669125	315.146875	+07.137898	474	 32	1978.7	     0	     0	3	     	19.84	     	20.40	18.96
0971-0669126	315.146934	+07.181198	 78	 80	1976.0	     0	     0	5	14.38	12.96	13.69	12.99	12.10
0971-0669127	315.147159	+07.194784	 58	170	1981.6	    -8	    16	4	     	18.92	20.72	18.27	18.28
0971-0669128	315.147595	+07.101956	 26	 24	1976.0	     0	     0	5	16.93	15.53	16.06	15.41	15.02
0971-0669129	315.147756	+07.195353	188	649	1967.3	     0	     0	3	20.58	19.70	     	     	18.57
0971-0669130	315.148200	+07.148609	126	 31	1981.6	     0	     0	4	18.82	     	17.74	17.09	17.30
0971-0669131	315.148439	+07.101356	193	 74	1992.0	     0	     0	2	     	     	18.89	18.55	
0971-0669132	315.148917	+07.148634	999	396	1982.4	     0	     0	4	     	17.50	20.86	19.55	18.43
0971-0669133	315.149178	+07.112289	 69	134	1989.0	     0	     0	2	     	     	20.88	20.59	
0971-0669134	315.149795	+07.149178	723	661	1990.9	    80	   212	3	     	     	20.73	19.72	19.08
0971-0669135	315.149967	+07.191864	112	 42	1976.0	     0	     0	5	18.33	17.06	17.31	16.58	16.67
0971-0669136	315.151392	+07.196895	214	301	1982.4	     0	     0	4	     	19.78	21.09	20.36	19.04
0971-0669137	315.151956	+07.152325	116	 79	1976.0	     0	     0	5	19.79	18.42	19.09	18.01	18.25
0971-0669138	315.152292	+07.173398	119	304	1990.6	     0	     0	2	     	     	21.07	20.96	
0971-0669139	315.152481	+07.185700	153	143	1982.4	     0	     0	4	     	20.05	21.09	20.01	18.75
0971-0669140	315.152820	+07.179114	 94	 68	1976.0	     0	     0	5	19.45	17.93	18.40	17.09	17.09
0971-0669141	315.152839	+07.163537	 75	255	1981.6	   -28	   -36	4	     	19.40	21.01	19.12	17.60
0971-0669142	315.154087	+07.102695	226	 47	1979.7	   -16	   -12	3	     	19.86	     	20.09	18.91
0971-0669143	315.154164	+07.103328	833	999	1990.6	     0	     0	2	     	     	20.21	19.88	
0971-0669144	315.154720	+07.114567	239	159	1983.1	     0	     0	4	     	19.83	20.48	19.66	18.86
0971-0669145	315.154739	+07.114250	 47	106	1990.9	    62	  -124	3	     	     	20.97	18.99	18.94
0971-0669146	315.154759	+07.118145	117	112	1976.0	     4	    12	5	18.61	17.75	17.98	17.32	17.59
0971-0669147	315.154992	+07.181912	 71	 53	1976.0	   -10	    -4	5	20.02	19.10	19.47	19.13	18.89
0971-0669148	315.155978	+07.179339	 74	175	1981.6	   -10	    -8	4	     	19.22	20.45	18.69	17.98
0971-0669149	315.156639	+07.190756	 86	 54	1976.0	    -4	   -12	5	18.34	16.35	17.36	16.04	15.55
0971-0669150	315.157548	+07.160067	 72	 33	1976.0	     0	     0	5	18.16	16.91	17.30	16.61	16.47
0971-0669151	315.159137	+07.109575	274	 74	1976.0	    10	   -12	5	19.97	17.38	19.32	17.15	15.50
0971-0669152	315.159462	+07.188875	447	999	1978.7	  -174	   260	3	     	19.90	     	19.95	19.24
0971-0669153	315.159812	+07.133028	 64	159	1990.5	     0	     0	2	     	     	21.12	20.10	
0974-0701056	314.790617	+07.459359	246	126	1976.2	    36	     8	5	20.07	18.12	18.64	17.80	17.97
0974-0701057	314.790670	+07.436762	 94	 59	1976.2	    -2	    -8	5	19.17	17.62	18.09	17.66	17.92
0974-0701058	314.791428	+07.419939	192	 60	1978.9	    -4	   -16	3	     	20.03	     	20.78	18.78
0974-0701059	314.791837	+07.407120	139	230	1976.2	    14	     0	5	20.37	19.21	19.99	18.40	17.92
0974-0701062	314.792581	+07.454631	 57	107	1976.2	    18	     0	5	19.87	16.72	18.26	16.57	16.16
0974-0701063	314.792845	+07.427389	908	151	1982.6	   204	   -94	4	20.72	     	20.98	19.83	18.21
0974-0701064	314.793878	+07.434625	140	184	1991.2	     0	     0	3	     	     	20.80	20.27	19.39
0974-0701065	314.794098	+07.438856	 39	 82	1976.2	     0	     0	5	17.96	16.31	16.94	16.11	16.04
0974-0701068	314.794862	+07.402325	126	 59	1976.2	     0	     0	5	18.63	16.56	17.68	16.36	16.59
0974-0701070	314.795650	+07.416950	106	 32	1976.2	     0	     0	5	16.09	15.75	15.44	15.62	15.96
0974-0701071	314.795734	+07.413337	 41	 46	1976.2	     0	     0	5	19.08	18.40	18.19	17.84	18.01
0974-0701075	314.796314	+07.406403	138	189	1989.0	     0	     0	2	     	     	21.23	20.21	
0974-0701076	314.797537	+07.410831	 10	 98	1971.4	     0	     0	4	20.47	20.00	20.02	19.76	
0974-0701078	314.798350	+07.460503	999	999	1972.1	     0	     0	2	20.69	     	20.93	     	
0974-0701079	314.798989	+07.461162	155	163	1976.2	     0	     0	5	20.12	19.28	19.48	18.68	18.53
0974-0701080	314.799550	+07.415031	292	 85	1991.5	     0	     0	2	     	     	     	20.30	18.70
0974-0701081	314.800073	+07.446573	 66	 77	1976.2	     0	     0	5	19.92	18.65	18.78	18.57	18.40
0974-0701082	314.800437	+07.450056	368	 69	1981.8	     0	     0	4	20.50	     	21.26	20.36	19.21
0974-0701083	314.800887	+07.416809	114	 30	1981.8	    22	     8	4	     	18.69	20.54	18.36	17.10
0974-0701084	314.801473	+07.411023	 41	 98	1976.2	     0	     0	5	18.09	16.92	17.14	16.59	16.64
0974-0701086	314.802389	+07.455259	105	202	1976.2	    14	     8	5	20.48	18.69	20.47	18.34	17.17
0974-0701089	314.803156	+07.431578	 66	 66	1976.2	    -2	    -8	5	19.08	17.46	17.95	17.25	17.25
0974-0701091	314.803673	+07.454648	876	999	1978.9	  -164	   248	3	20.40	     	     	20.63	19.24
0974-0701092	314.803967	+07.447039	105	344	1976.2	     8	    -8	5	20.64	18.96	20.61	18.35	17.95
0974-0701093	314.804028	+07.428342	999	999	1979.9	  -336	  -548	3	     	19.65	     	19.75	18.95
0974-0701096	314.805745	+07.426075	 39	189	1976.2	     8	     8	5	13.55	11.70	12.77	12.21	11.41
